model_code	model_id	model_initial_id	model_name	model_quarter
MOD_201264	-21264	1264	Садовые фигуры	-2.0
MOD_201265	-21265	1265	Скворечник	-2.0
MOD_201266	-21266	1266	Домик для насекомых	-2.0
MOD_201267	-21267	1267	Кормушка для животных	-2.0
MOD_201268	-21268	1268	Корм для птиц	-2.0
MOD_201269	-21269	1269	Декоративный фонтан	-2.0
MOD_201270	-21270	1270	Декоративная мельничка на колышке	-2.0
MOD_201271	-21271	1271	Комнатные растения	-2.0
MOD_201272	-21272	1272	Цветы и цветущие кустарники	-2.0
MOD_201273	-21273	1273	Саженцы декоративно лиственных растений	-2.0
MOD_201274	-21274	1274	Саженцы плодовых деревьев и кустарников	-2.0
MOD_201275	-21275	1275	Овощи и пряный сад	-2.0
MOD_201276	-21276	1276	Ель натуральная новогодняя	-2.0
MOD_201277	-21277	1277	Семена цветов	-2.0
MOD_201278	-21278	1278	Семена овощей и пряных трав	-2.0
MOD_201279	-21279	1279	Семена газонных трав	-2.0
MOD_201280	-21280	1280	Ручная сеялка	-2.0
MOD_201281	-21281	1281	Каток газонный ручной	-2.0
MOD_201282	-21282	1282	Теплицы и мини парники	-2.0
MOD_201283	-21283	1283	Парник стационарный	-2.0
MOD_201284	-21284	1284	парники и теплицы	-2.0
MOD_201285	-21285	1285	Парник для балкона	-2.0
MOD_201286	-21286	1286	Акссесуары для теплицы	-2.0
MOD_201287	-21287	1287	Покрывало для роста и зимовки	-2.0
MOD_201288	-21288	1288	Укрывной материал, спанбонд и защита для корней	-2.0
MOD_201289	-21289	1289	Органическая и минеральная мульча	-2.0
MOD_201290	-21290	1290	Галька, гравий, минеральная мульча	-2.0
MOD_201291	-21291	1291	Опора для растений и цветов	-2.0
MOD_201292	-21292	1292	Подвязка для растений	-2.0
MOD_201293	-21293	1293	Дождемер	-2.0
MOD_201294	-21294	1294	Лотки для рассады	-2.0
MOD_201295	-21295	1295	Грядки сборно-разборные	-2.0
MOD_201296	-21296	1296	Барометр	-2.0
MOD_201297	-21297	1297	Удобрения	-2.0
MOD_201298	-21298	1298	Стимулятор роста	-2.0
MOD_201299	-21299	1299	Горшечный грунт и торф	-2.0
MOD_201300	-21300	1300	Субстрат для газонов	-2.0
MOD_201301	-21301	1301	Удобрение	-2.0
MOD_201302	-21302	1302	Средство против мха	-2.0
MOD_201303	-21303	1303	Электрические и газовые опрыскиватели	-2.0
MOD_201304	-21304	1304	Средства борьбы с болезнями растений и насекомыми-вредителями	-2.0
MOD_201306	-21306	1306	Замазка для деревьев	-2.0
MOD_201307	-21307	1307	Средство от слизней	-2.0
MOD_201308	-21308	1308	Ловушки для садовых вредителей	-2.0
MOD_201309	-21309	1309	Универсальные средства для борьбы с насекомыми-вредителями	-2.0
MOD_201310	-21310	1310	Электрические или аккумуляторные ловушка и отпугиватель против насекомых	-2.0
MOD_201311	-21311	1311	Репелленты для кошек и собак	-2.0
MOD_201312	-21312	1312	Триггер распылитель	-2.0
MOD_201313	-21313	1313	Помповый распылитель	-2.0
